sku,name,image,price,description,,,,,,,,,,,
1208,the Aquarius,1208,20,+ACI-Take any outfit to the next level with the Aquarius statement necklace. Three layers of elegance and classic combinations of blue and yellow gold, take any outfit to the next level with the Aquarius statement necklace.+ACI-,,,,,,,,,,,
1217,the Aphrodite,1217,15,+ACI-A beautiful mix of colored beads, charms, and tassels make this layered necklace a new classic that fits for any occasion.+ACI-,,,,,,,,,,,
1227,the Wanderlust,1227,15,A feminine mix of blues and brown make this bohemian inspired necklace a perfect touch to your next adventure,,,,,,,,,,,
243,the Spectrum,243,20,Beautiful stones of blue and white create stunning visions of floral for a lovely evening wear set of earrings.,,,,,,,,,,,
246,Night Onyx,246,95.5,Pear shaped drop earrings feature the right amount of sparkle with black and white stones.,,,,,,,,,,,
253,the Big O+ACE-,253,58.5,+ACI-Rose, black, and white crystals dangle oval shaped studs that take modern and chic to the next level.+ACI-,,,,,,,,,,,
262,Venom Vixen,262,58,Radiant red stone surrounded by black and white crystals make this beautiful design a must have for your girls night out.,,,,,,,,,,,
269,Edge of Desire,269,55,These classy drop earrings show the perfect mix of edge and sophistication with black and gold crystals draping white stone.,,,,,,,,,,,
276,Blind Date,276,60.7,Dark grey stone is generously wrapped with rose and black crystal to create the perfect blend of modern style.,,,,,,,,,,,
290,the Laguna,290,33,A blissful pair of aqua blue stones dangle from a cushion of yellow gold studs.,,,,,,,,,,,
293,Blissful Haven,293,N/A,White princess shaped stone elegantly hangs from blue cushioned stone that creates the perfect accessory to any outfit.,,,,,,,,,,,
300,Bordeaux Bliss,300,42,Beveled dark oval stones subtlety drape round stones that can be worn for any occasion.,,,,,,,,,,,
309,Everyday Eclipse,309,33,Round mariner blue stone surrounded by classic white crystals glow in this timeless set of studs.,,,,,,,,,,,
315,the Ruby Sunrise,315,35,+ACI-Unique yellow gold ray design gently outlines a single ruby red stone, making this the perfect addition to your jewelry collection.+ACI-,,,,,,,,,,,can't access the image from PDF 2
322,the Graduate,322,30,+ACI-Perfect for graduation day, delicate yellow gold metal loops and lines gentle white stone.+ACI-,,,,,,,,,,,
329,Last Dance,329,N/A,Bring ultimate sophistication to any outfit with the Last Dance earrings.,,,,,,,,,,,
342,Mermaid Kiss,342,35,A gold setting featuring pave crystals with clear blue stone brings modern luxury to a classic style.,,,,,,,,,,,
347,+ACI-Kiss Me, I+//0Aw//9AKo-m+//0Aw//9AIQ-+ACI-,347,35,Add a pop of color to your jewelry box with emerald green stone combined with yellow gold and white pave crystals.,,,,,,,,,,,can't find the image 
354,Midnight Shadow,354,15,Renaissance inspired design mixed with round and emerald stones gives a royal feeling to a classic style.,,,,,,,,,,,
357,Floral Dreams,357,15.75,Geometric design transforms a regular drop earring to a show+AC0-stopping piece to complete your most elegant look.,,,,,,,,,,,
362,Blue Cosmix,362,15.75,Show your taste in creativity in a beautiful combination of natural stone and crystals with a white metal setting.,,,,,,,,,,,
369,Supernova,369,14.25,Mix extraterrestrial silhouette and contemporary color hues to get a true statement piece.,,,,,,,,,,,
376,the Wonderland,376,25.5,+ACI-The perfect statement piece for any avant+AC0-garde occasion. Indulge in bronze, teal, and white colors combined in unique geometric shape.+ACI-,,,,,,,,,,,
378,the Spectrum,378,17,+ACI-Marquis and pear shaped stone encircle Howlite stone, giving you ultimate fire and sparkle.+ACI-,,,,,,,,,,,
387,Alexandra,387,14.8,+ACI-White stone and crystal brings classic design to a modern world. Pump up your outfit with the Alexandra drop earring. Featuring white stone and crystals, bring this classic design to the modern world.+ACI-,,,,,,,,,,,
400,Aristocraze,400,14.66,+ACI-This elegant mix of classic geometric shapes and modern tassels brings. A modern twist to the classic geometric stud earring, dangled tassels drape in elegant fashion in bold midnight blue.+ACI-,,,,,,,,,,,
413,the Medusa,413,14.82,Mix up your daily outfits with the ultimate statement accessory. The Medusa drop earring mixes classic styles and color to a modern bohemian piece.,,,,,,,,,,,
426,the Arrowhead,426,20.36,+ACI-Look great and feel like a true warrior in these Arrowhead studs. Paired with bronze metal, uniquely set crystals bring chic to a bohemian design.+ACI-,,,,,,,,,,,
438,Aerial+//0Aw//9AKo-s View,438,25.46,Drop into ultimate fashion with an array of crystals in different shapes and sizes. These earrings will be sure to have all eyes on you.,,,,,,,,,,,
452,the Esmeralda,452,15,+ACI-Blue hues combined with iridescent white stones, these adventurous earrings will add life to your most casual outfit.+ACI-,,,,,,,,,,,
464,Fantasia,464,35,+ACI-You can depend on the Fantasia earrings to transform any casual look into a luxurious outfit, featuring bold blue and white stones.+ACI-,,,,,,,,,,,
470,the Reign Drop,470,43.5,Look no further for the perfect luxe pair of earrings. This set impresses with plenty of sparkle and shine.,,,,,,,,,,,
